Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
19:17:25:01.038,61,0.1229498684,0.2273578346,0.0817807019,0.0000000000,0.0000000000,0.0489487834,0.0000000000,0.1229568943,0.2276638448,0.0309645142,0.0000000000,0.0000000000,0.0489570908,0.0000000000,0.0423483551,0.0015975847,0.0000000000,0.0451982133,0.0531050861,0.1012205556,0.0996340886,0.0091938796,0.0000000000,0.0000000000,0.0000000000,0.0539982133,0.0543147661,0.0311587192,0.0311674252,0.0748932213,0.0750796273,0.0721145198,0.0261268392,0.2408110350,0.1597797275,0.0652063414,0.0702355653,0.0516120158,0.0463538878,0.0315558948,0.0322301835,0.0000000000,0.0000000000,0.0559283383,0.0030439333,0.0030384669,0.0490098782,0.0743016750,0.0747695044,0.1016711891,0.1064578369,0.0000007291,0.0130113084,0.0380822271,0.0380412750,-0.0187324993,0.1390964985,-0.0026224011,0.0494755656,0.1390562505,0.0069216420
19:17:25:02.038,61,0.1200060919,0.2252486199,0.0826817676,0.0000000000,0.0000000000,0.0484275147,0.0000000000,0.1200105250,0.2255609334,0.0300483815,0.0000000000,0.0000000000,0.0484355018,0.0000000000,0.0420563221,0.0015811224,0.0000000000,0.0448966362,0.0528173409,0.1004949808,0.0994928926,0.0094507132,0.0000000000,0.0000000000,0.0000000000,0.0541003905,0.0537265427,0.0305149276,0.0304966420,0.0747568160,0.0748211220,0.0718496889,0.0256858226,0.2358767837,0.1580365300,0.0646226928,0.0697261989,0.0511632040,0.0458289795,0.0312165376,0.0319016203,0.0000000000,0.0000000000,0.0553111061,0.0034633006,0.0034547478,0.0494595952,0.0731833130,0.0738010034,0.1006723940,0.1055327132,0.0000001889,0.0146024451,0.0406201296,0.0379921682,-0.0181815289,0.1378102452,-0.0025214397,0.0500296578,0.1377700567,0.0069335252
19:17:25:03.038,61,0.1194630489,0.2282486558,0.0845060199,0.0000000000,0.0000000000,0.0479808897,0.0000000000,0.1194667444,0.2285815775,0.0281656906,0.0000000000,0.0000000000,0.0479887910,0.0000000000,0.0418737829,0.0017072756,0.0000000000,0.0447591282,0.0527605712,0.1005582735,0.0995442420,0.0099158101,0.0000000000,0.0000000000,0.0000000000,0.0541330725,0.0536405258,0.0299244877,0.0298885852,0.0750397891,0.0749663860,0.0716800168,0.0252573304,0.2335314155,0.1569139361,0.0640614703,0.0691819414,0.0510098711,0.0455472916,0.0309567135,0.0316150151,0.0000000000,0.0000000000,0.0548767969,0.0042004082,0.0041903090,0.0496090166,0.0725781545,0.0732615069,0.1003073230,0.1051734164,0.0000002186,0.0171299111,0.0449163392,0.0373395458,-0.0170379709,0.1396529526,-0.0023948723,0.0511203930,0.1396127790,0.0071805432
19:17:25:04.039,61,0.1189989746,0.2271581143,0.0860260352,0.0000000000,0.0000000000,0.0475180857,0.0000000000,0.1190021411,0.2275044620,0.0264817812,0.0000000000,0.0000000000,0.0475258119,0.0000000000,0.0416681953,0.0016146475,0.0000000000,0.0445164032,0.0525104180,0.1005283892,0.0998240635,0.0104118865,0.0000000000,0.0000000000,0.0000000000,0.0648729801,0.0702486113,0.0292828977,0.0292227361,0.0750614777,0.0748872906,0.0715582520,0.0247958284,0.2531908154,0.1632068008,0.0636880100,0.0688237995,0.0504994057,0.0449801758,0.0307736509,0.0314013027,0.0000000000,0.0000000000,0.0543742441,0.0048598964,0.0048481366,0.0497076027,0.0719794631,0.0726813227,0.1002086997,0.1050415561,0.0000002527,0.0210456681,0.0485699363,0.0384718738,-0.0160208214,0.1389924884,-0.0022411256,0.0520447381,0.1389523745,0.0072752312
19:17:25:05.039,61,0.1111269295,0.2246556431,0.0849130303,0.0000000000,0.0000000000,0.0469120517,0.0000000000,0.1111277342,0.2249886990,0.0275178291,0.0000000000,0.0000000000,0.0469194092,0.0000000000,0.0411543213,0.0011313991,0.0000000000,0.0427183248,0.0494180359,0.0801875144,0.0921216011,0.0110776369,0.0000000000,0.0000000000,0.0000000000,0.0668238103,0.0738228336,0.0285659693,0.0283828750,0.0728230327,0.0723471567,0.0692145899,0.0242153425,0.2577335536,0.1657466590,0.0631122887,0.0682412460,0.0465168394,0.0415845215,0.0304563753,0.0310410745,0.0000000000,0.0000000000,0.0523085743,0.0047917645,0.0047790366,0.0483524464,0.0692441240,0.0694414228,0.0989976227,0.1032014489,0.0000001864,0.0245164577,0.0518292375,0.0385123156,-0.0166511610,0.1374569535,-0.0023032329,0.0513823107,0.1374168545,0.0071023325
19:17:25:06.039,61,0.1070534438,0.2247674614,0.0827074796,0.0000000000,0.0000000000,0.0457916483,0.0000000000,0.1070527360,0.2250800878,0.0297247712,0.0000000000,0.0000000000,0.0457976945,0.0000000000,0.0406571180,0.0005339312,0.0000000000,0.0411839895,0.0467944592,0.0687513947,0.0842052102,0.0118943136,0.0000000000,0.0000000000,0.0000000000,0.0664616451,0.0751831084,0.0274991989,0.0271875411,0.0690089390,0.0684747696,0.0667302161,0.0236424915,0.2321697176,0.1633882821,0.0604169555,0.0650970414,0.0431854688,0.0385945514,0.0299265627,0.0304628592,0.0000000000,0.0000000000,0.0503920130,0.0050680237,0.0050544282,0.0460469164,0.0643210411,0.0641188547,0.0875548720,0.0894857049,0.0000001265,0.0301049203,0.0556449071,0.0367336161,-0.0179864503,0.1375160068,-0.0024889954,0.0500472486,0.1374758631,0.0069209626
19:17:25:07.039,61,0.1045505106,0.2268051654,0.0798427984,0.0000000000,0.0000000000,0.0445079803,0.0000000000,0.1045482606,0.2270932347,0.0324774049,0.0000000000,0.0000000000,0.0445128307,0.0000000000,0.0401822738,0.0000946815,0.0000000000,0.0401900597,0.0452130809,0.0625538453,0.0795728341,0.0125883315,0.0000000000,0.0000000000,0.0000000000,0.0651335716,0.0748373717,0.0265422706,0.0261634272,0.0664596260,0.0657195002,0.0649171397,0.0231177732,0.2211658657,0.1550415903,0.0574778728,0.0619155206,0.0410014950,0.0365239941,0.0292760134,0.0297352429,0.0000000000,0.0000000000,0.0478382707,0.0053948388,0.0053800642,0.0440539271,0.0601168722,0.0600308888,0.0823242068,0.0840642825,0.0000000897,0.0375314057,0.0617278926,0.0322330259,-0.0196487047,0.1387503445,-0.0027437117,0.0483054668,0.1387102604,0.0067410460
19:17:25:08.039,61,0.1034444720,0.2324959189,0.0804587603,0.0000000000,0.0000000000,0.0432090536,0.0000000000,0.1034408584,0.2327953130,0.0318595506,0.0000000000,0.0000000000,0.0432129130,0.0000000000,0.0399129316,0.0000000000,0.0003980743,0.0394609906,0.0442233905,0.0601791032,0.0780612379,0.0136496937,0.0000000000,0.0000000000,0.0000000000,0.0694571212,0.0865177140,0.0257254671,0.0253042933,0.0650820658,0.0642719418,0.0639277101,0.0226660427,0.2351922542,0.1565245986,0.0562501214,0.0605838224,0.0396690071,0.0352479890,0.0287984312,0.0291893389,0.0000000000,0.0000000000,0.0468020290,0.0111989640,0.0111924596,0.0430473872,0.0582054518,0.0580957308,0.0802583322,0.0818276927,0.0000000548,0.0459538512,0.0706398115,0.0238690786,-0.0192654151,0.1422331780,-0.0027586322,0.0486542135,0.1421930939,0.0069624400
19:17:25:09.039,61,0.1027414203,0.2365206927,0.0838906243,0.0000000000,0.0000000000,0.0425221026,0.0000000000,0.1027449146,0.2368572056,0.0286233574,0.0000000000,0.0000000000,0.0425255075,0.0000000000,0.0394735709,0.0000000000,0.0009828764,0.0388347842,0.0434214547,0.0588733181,0.0775812268,0.0137512106,0.0000000000,0.0000000000,0.0000000000,0.0706829056,0.0889496356,0.0249690972,0.0245360825,0.0639035627,0.0631959885,0.0631064698,0.0222440977,0.2389594018,0.1590477377,0.0553654991,0.0596832708,0.0379529744,0.0338696539,0.0282593854,0.0286496691,0.0000000000,0.0000000000,0.0460715257,0.0126204193,0.0126090301,0.0425726064,0.0562651642,0.0563514866,0.0787420198,0.0803627595,0.0000000881,0.0547261685,0.0822295472,0.0132024037,-0.0173022933,0.1447096765,-0.0025213030,0.0507114567,0.1446695626,0.0073847179
19:17:25:10.039,61,0.0982650146,0.2426082790,0.0829348341,0.0000000000,0.0000000000,0.0418953262,0.0000000000,0.0982669741,0.2429421544,0.0294529684,0.0000000000,0.0000000000,0.0418984666,0.0000000000,0.0390433110,0.0000000000,0.0012741196,0.0381523147,0.0423956551,0.0579522289,0.0775478035,0.0138700055,0.0000000000,0.0000000000,0.0000000000,0.0915444717,0.1220891699,0.0238986667,0.0234659277,0.0629890859,0.0623945519,0.0622645393,0.0217292756,0.2406905740,0.1603871137,0.0546692275,0.0589368418,0.0352307595,0.0317890458,0.0275506768,0.0276937187,0.0000000000,0.0000000000,0.0441834666,0.0117373141,0.0117328176,0.0432901718,0.0522473268,0.0515218936,0.0768038034,0.0771840438,0.0000001457,0.0585417151,0.0919157863,0.0016261272,-0.0177940112,0.1484286040,-0.0026605618,0.0501062013,0.1483885795,0.0074869720
